molecule_chembl_id,target_label,activity_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,ln_ic50,gene,target_notes,target_pref_name
CHEMBL4474551,TGFBR1,19411403,CHEMBL4439,IC50,=,6.31,nM,8.2,CHEMBL4427614,CHEMBL4425174,1.8421356765531218,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4474634,PDE5,19231657,CHEMBL1827,IC50,=,0.79,nM,9.1,CHEMBL4397429,CHEMBL4396872,-0.23572233352106983,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL447486,TGFBR1,1466657,CHEMBL4439,IC50,=,1770.0,nM,5.75,CHEMBL831004,CHEMBL1138735,7.478734825567875,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4474911,TGFBR1,19453933,CHEMBL4439,IC50,=,14.0,nM,7.85,CHEMBL4434540,CHEMBL4433262,2.6390573296152584,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4475515,TGFBR1,18902118,CHEMBL4439,IC50,=,790.0,nM,6.1,CHEMBL4316522,CHEMBL4312039,6.672032945461067,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4475766,TGFBR1,18902121,CHEMBL4439,IC50,=,1260.0,nM,5.9,CHEMBL4316522,CHEMBL4312039,7.138866999945524,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL448165,ETA,1134727,CHEMBL252,IC50,=,0.1,nM,10.0,CHEMBL682365,CHEMBL1134926,-2.3025850929940455,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL448165,ETB,1134728,CHEMBL1785,IC50,=,42.0,nM,7.38,CHEMBL670652,CHEMBL1134926,3.7376696182833684,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4483406,PDE5,19231665,CHEMBL1827,IC50,=,1.23,nM,8.91,CHEMBL4397429,CHEMBL4396872,0.20701416938432612,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4483492,TGFBR1,19411411,CHEMBL4439,IC50,=,19.95,nM,7.7,CHEMBL4427614,CHEMBL4425174,2.9932291433358724,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL44967,PDE5,303613,CHEMBL1827,IC50,>,200000.0,nM,,CHEMBL762506,CHEMBL1127531,12.206072645530174,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL450337,ETA,957300,CHEMBL252,IC50,=,0.4,nM,9.4,CHEMBL681513,CHEMBL1129826,-0.916290731874155,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL450337,ETB,957301,CHEMBL1785,IC50,>,2500.0,nM,,CHEMBL678455,CHEMBL1129826,7.824046010856292,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL45039,PDE5,972785,CHEMBL1827,IC50,=,2.5,nM,8.6,CHEMBL763673,CHEMBL1129550,0.9162907318741551,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL450628,ETA,806582,CHEMBL252,IC50,=,387.0,nM,6.41,CHEMBL682357,CHEMBL1149183,5.958424693029782,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL450628,ETB,806583,CHEMBL1785,IC50,=,1780.0,nM,5.75,CHEMBL670641,CHEMBL1149183,7.484368643286131,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL45087,ETA,1087126,CHEMBL252,IC50,=,13.0,nM,7.89,CHEMBL682358,CHEMBL1130042,2.5649493574615367,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL45087,ETB,1087127,CHEMBL1785,IC50,=,44700.0,nM,4.35,CHEMBL670643,CHEMBL1130042,10.707728780601661,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL45128,PDE5,271953,CHEMBL1827,IC50,>,1000000.0,nM,,CHEMBL762506,CHEMBL1127531,13.815510557964274,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4513488,TGFBR1,19411404,CHEMBL4439,IC50,=,19.95,nM,7.7,CHEMBL4427614,CHEMBL4425174,2.9932291433358724,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
