canonical_drug_id,drug_name,drug_name_norm,n_pairs,li_hc_label_mean,li_hc_label_median,canonical_smiles,hcc_approved,rank_proxy_v2
1057,Dactolisib,dactolisib,15,-0.9908300666666666,-1.070158,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,False,18
1003,Camptothecin,camptothecin,15,-0.9358389333333333,-1.294397,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,False,19
1862,MG-132,mg-132,15,-0.8897657333333334,-1.249479,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,False,20
1825,Podophyllotoxin bromide,podophyllotoxin bromide,15,-0.2675694,-0.890051,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)Br,False,21
1827,Dihydrorotenone,dihydrorotenone,15,-0.00564700000000001,0.484795,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)CC(C(C)C)O4,False,22
1059,AZD8055,azd8055,13,-0.002170769230769258,-0.477783,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,False,23
1849,Sabutoclax,sabutoclax,15,0.020648066666666676,-0.161954,CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NCC(C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NCC(C)C6=CC=CC=C6,False,24
1096,Tozasertib,tozasertib,1,0.169586,0.169586,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,False,25
1372,Trametinib,trametinib,15,0.3086992,0.340434,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,False,26
1068,Obatoclax Mesylate,obatoclax mesylate,15,0.440074,0.539962,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,False,27
1511,Epirubicin,epirubicin,15,0.5392235999999999,0.426102,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,False,28
1086,BI-2536,bi-2536,15,0.5549354,0.294801,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,False,29
1008,Methotrexate,methotrexate,14,0.6594135,1.3429259999999998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,30
