rank,canonical_drug_id,drug_name,target_genes,target_match_genes,target_gene_match_rate,target_expression_pct,target_expressed,survival_p_value,survival_direction,known_paad_control,clinical_trial_mention_count,ensemble_score,mean_pred_ln_ic50,prism_compound_ids,prism_pancreatic_cell_lines,prism_observations,prism_mean_log2fc,prism_sensitive_fraction_lt_minus1,prism_has_evidence,opentargets_target_ids,opentargets_max_score,opentargets_evidence_count
11,1191,Bortezomib,PROTEASOME;PRSS1;PSMB1;PSMB5,PRSS1;PSMB1;PSMB5,0.75,1.0,True,0.6894576356033888,high_expression_shorter_survival,False,182,-0.7052068,0.7052068,BRD:BRD-K88510285-001-11-1,44,36,-4.023045225297611,0.9722222222222222,True,ENSG00000008018;ENSG00000100804;ENSG00000204983,0.8074782687049359,1088
12,1086,BI-2536,PLK1;PLK2;PLK3,PLK1;PLK2;PLK3,1.0,0.8360655737704918,True,0.014927652447869857,high_expression_shorter_survival,False,0,-0.8183875,0.8183875,BRD:BRD-K64890080-001-13-8,44,35,-2.0014917092402285,0.7428571428571429,True,ENSG00000145632;ENSG00000166851;ENSG00000173846,0.11184499150171155,55
13,2048,Vinorelbine,BCL2;MAP4;MAPK1;TUBB,BCL2;MAP4;MAPK1;TUBB,1.0,0.9836065573770492,True,0.12271159769075392,high_expression_shorter_survival,False,26,-0.892512,0.892512,BRD:BRD-K69280563-001-01-8,44,35,-1.7224395487673143,0.6285714285714286,True,ENSG00000047849;ENSG00000100030;ENSG00000171791;ENSG00000196230,0.4049351136576385,915
14,1249,BMS-345541,IKK-1;IKK-2,,0.0,,False,,no_clinical_data,False,0,-0.9423426,0.9423426,BRD:BRD-K13566078-001-02-3,44,36,-0.12588475503103055,0.1388888888888889,True,,,0
15,1034,Staurosporine,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,1.0,0.14754098360655737,False,0.6303758822607237,high_expression_shorter_survival,False,27,-1.0569538,1.0569538,BRD:BRD-K45293975-001-02-0,44,35,-3.323151211897143,1.0,True,ENSG00000065675;ENSG00000082701;ENSG00000103653;ENSG00000104365;ENSG00000105851;ENSG00000113263;ENSG00000115085;ENSG00000123374;ENSG00000137193;ENSG00000140992;ENSG00000154229;ENSG00000162889;ENSG00000165025;ENSG00000168539;ENSG00000182866,0.30467616392870805,725
16,1736,Selumetinib,MAP2K1;MAP2K2,MAP2K1;MAP2K2,1.0,0.9890710382513661,True,0.5602281425014669,high_expression_shorter_survival,False,250,-1.206551,1.206551,BRD:BRD-K57080016-001-15-9,44,36,-0.9925137459568248,0.3888888888888889,True,ENSG00000126934;ENSG00000169032,0.3066780123387919,100
17,1494,SN-38,TOP1,TOP1,1.0,0.9836065573770492,True,0.1484577202560602,high_expression_longer_survival,False,273,-1.2311819,1.2311819,BRD:BRD-K89561498-001-01-7,44,36,-3.2736574565786394,0.9722222222222222,True,ENSG00000198900,0.46202003448352263,242
18,1401,AZD5438,CDK2,CDK2,1.0,0.4207650273224044,True,0.049183006121812034,high_expression_shorter_survival,False,0,-1.4154562,1.4154562,BRD:BRD-K72414522-001-06-7,44,36,-2.8967734447153055,0.8888888888888888,True,ENSG00000123374,0.10238583641508114,37
19,1016,Temsirolimus,MTOR,MTOR,1.0,0.31693989071038253,True,0.7751666628926428,high_expression_shorter_survival,False,162,-1.4267647,1.4267647,BRD:BRD-K42898655-001-01-8,44,37,-0.19381961429175412,0.08108108108108109,True,ENSG00000198793,0.31877858457698127,441
20,1059,AZD8055,MTOR,MTOR,1.0,0.31693989071038253,True,0.7751666628926428,high_expression_shorter_survival,False,0,-1.465927,1.465927,BRD:BRD-K69932463-001-10-6,44,35,-2.7607721587240857,0.8571428571428571,True,ENSG00000198793,0.31877858457698127,441
21,1080,Paclitaxel,BCL2;NR1I2;TUBB1,BCL2;NR1I2;TUBB1,1.0,0.0,False,0.5165761361192062,high_expression_shorter_survival,True,10530,-1.4697692,1.4697692,BRD:BRD-K62008436-001-22-1,44,35,-1.8741729478939715,0.7428571428571429,True,ENSG00000101162;ENSG00000144852;ENSG00000171791,0.4049351136576385,617
