candidate_id,canonical_drug_id,disease_id,rank,tier,score,evidence_summary,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,source_file,source_row_number
cand_e1d5ba823bb05272,cdrug_e33512555752f796,LUNG,5,RESEARCH_PHASE,0.3269999999999999,,,PASS,PASS,False,,0,LUNG_final_admet.csv,5
cand_52b421552fa72421,cdrug_5b0d446d35d3790d,LUNG,6,CLINICAL_TRIAL,0.290391304347826,,,PASS,PASS,False,,0,LUNG_final_admet.csv,6
cand_76d919f8a2b6cc09,cdrug_eee02d6dc017f95a,LUNG,7,CLINICAL_TRIAL,0.257,,,PASS,PASS,False,,0,LUNG_final_admet.csv,7
cand_6db6e2b973b9c614,cdrug_e6882f20c467ce5f,LUNG,8,CLINICAL_TRIAL,0.2545294117647058,,,PASS,PASS,False,,0,LUNG_final_admet.csv,8
cand_a42a807f1e5a0101,cdrug_8edbdc9c5d4a7174,LUNG,9,CLINICAL_TRIAL,0.2091428571428571,,,PASS,PASS,False,,0,LUNG_final_admet.csv,9
cand_5ef9c9f3315e7017,cdrug_7e79edcdee91cafc,LUNG,10,REPURPOSING_CANDIDATE,0.55,,,PASS,PASS,False,,0,LUNG_final_admet.csv,10
cand_6d8fcacdfc420f04,cdrug_36dba5df8466d8d4,LUNG,11,REPURPOSING_CANDIDATE,0.2668557667323745,,,PASS,PASS,False,,0,LUNG_final_admet.csv,11
cand_2e1dad8d0f41d9f1,cdrug_edd483796693a02f,LUNG,12,REPURPOSING_CANDIDATE,0.23,,,PASS,PASS,False,,0,LUNG_final_admet.csv,12
cand_6bd1ca9b010e784a,cdrug_68ee9a79a64bf70a,LUNG,13,REPURPOSING_CANDIDATE,0.2151956230203704,,,PASS,PASS,False,,0,LUNG_final_admet.csv,13
cand_aa8eee59f218309a,cdrug_5e43b24a58c005d7,LUNG,14,REPURPOSING_CANDIDATE,0.1998677874522688,,,PASS,PASS,False,,0,LUNG_final_admet.csv,14
cand_c40249dda26708ee,cdrug_09df56fea397fe63,LUNG,15,REPURPOSING_CANDIDATE,0.1826249975016053,,,PASS,PASS,False,,0,LUNG_final_admet.csv,15
cand_cf47bd6f2250d561,cdrug_c40413853cfa1088,Liver,6,tier2,-0.1583007,ADMET PASS but not HCC-approved,7.5,PASS,PASS,,,,Liver_final_admet.csv,1
cand_e7025185d554352b,cdrug_b927e4cdcac90f13,Liver,23,tier2,1.4928697,ADMET PASS but not HCC-approved,7.25,PASS,PASS,,,,Liver_final_admet.csv,2
