canonical_drug_id,DRUG_NAME,cosmic_drug_field,cosmic_drug_value,GENOMIC_MUTATION_ID,TRIAL_ID
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Dexamethasone,Docetaxel,Doxorubicin hydrochloride,Filgrastim,Lapatinib,Pegfilgrastim,Trastuzumab",,NCT00404066
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Docetaxel,Trastuzumab",,NCT00364611
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Lapatinib,Trastuzumab",,NCT00251433
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab,Vinorelbine",,NCT00193089
1819,Docetaxel,DRUG_COMBINATION,"Capecitabine,Docetaxel,Trastuzumab",,NCT02748213
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00379015
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00398489
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00270894
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Liposome-encapsulated doxorubicin citrate,Trastuzumab",,NCT00129896
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Liposome-encapsulated doxorubicin citrate,Trastuzumab",,NCT00712881
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Gefitinib,Trastuzumab",,NCT00086957
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Doxorubicin hydrochloride liposome",,NCT00004888
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Doxorubicin hydrochloride liposome,Trastuzumab",,NCT00377780
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Doxorubicin hydrochloride liposome,Trastuzumab",,NCT00250874
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Doxorubicin hydrochloride liposome,Trastuzumab",,NCT00004888
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Filgrastim,Trastuzumab,Vinorelbine",,NCT00041067
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00068341
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00232479
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT03140553
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT02510781
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00453635
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00148668
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT07102381
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT04419181
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT01959490
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT04094896
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT07220135
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab",,NCT00545688
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT03367676
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT03879577
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT00006104
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT00545688
1819,Docetaxel,DRUG_COMBINATION,"BL-M07D1,Docetaxel,Pertuzumab",,NCT06891833
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel or Paclitaxel,Pertuzumab,Stereotactic body radiation therapy,Trastuzumab",,NCT06135714
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Doxorubicin hydrochloride liposome,Pertuzumab,Trastuzumab",,NCT05159193
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Pyrotinib,Trastuzumab",,NCT04717531
1819,Docetaxel,DRUG_COMBINATION,"Anti-ERBB2 MOAb QL1209,Docetaxel,Trastuzumab",,NCT04629846
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel or Paclitaxel,Epirubicin,Pyrotinib,Trastuzumab",,NCT04290793
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,TQ-B211",,NCT04385563
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Pertuzumab,Trastuzumab",,NCT05474690
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel",,NCT03349177
1819,Docetaxel,DRUG_COMBINATION,"Atezolizumab,Docetaxel or Paclitaxel,Pertuzumab,Trastuzumab",,NCT03199885
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Endocrine therapy,Pertuzumab,Trastuzumab",,NCT03161353
1819,Docetaxel,DRUG_COMBINATION,"Anthracycline,Docetaxel or Paclitaxel,Pertuzumab,Trastuzumab",,NCT01966471
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel or Paclitaxel,Trastuzumab",,NCT02472964
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Cyclophosphamide,Docetaxel,Doxorubicin hydrochloride,Epirubicin,Fluorouracil,Paclitaxel,Pertuzumab,Trastuzumab",,NCT01358877
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Pertuzumab,Trastuzumab",,NCT02586025
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin",,NCT03349177
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin",,NCT00798070
