feature,importance,feature_group
emb_882,0,image_embedding
emb_883,0,image_embedding
emb_884,0,image_embedding
emb_885,0,image_embedding
emb_886,0,image_embedding
emb_887,0,image_embedding
emb_888,0,image_embedding
emb_889,0,image_embedding
emb_890,0,image_embedding
emb_891,0,image_embedding
emb_892,0,image_embedding
emb_893,0,image_embedding
emb_894,0,image_embedding
emb_895,0,image_embedding
emb_896,0,image_embedding
emb_897,0,image_embedding
emb_898,0,image_embedding
emb_899,0,image_embedding
emb_900,0,image_embedding
emb_901,0,image_embedding
emb_902,0,image_embedding
emb_903,0,image_embedding
emb_904,0,image_embedding
emb_905,0,image_embedding
emb_906,0,image_embedding
emb_907,0,image_embedding
emb_908,0,image_embedding
emb_909,0,image_embedding
emb_910,0,image_embedding
emb_911,0,image_embedding
emb_912,0,image_embedding
emb_913,0,image_embedding
emb_914,0,image_embedding
emb_915,0,image_embedding
emb_916,0,image_embedding
emb_917,0,image_embedding
emb_918,0,image_embedding
emb_919,0,image_embedding
emb_920,0,image_embedding
emb_921,0,image_embedding
emb_922,0,image_embedding
emb_923,0,image_embedding
emb_924,0,image_embedding
emb_925,0,image_embedding
emb_926,0,image_embedding
emb_927,0,image_embedding
emb_928,0,image_embedding
emb_929,0,image_embedding
emb_930,0,image_embedding
emb_931,0,image_embedding
emb_932,0,image_embedding
emb_933,0,image_embedding
emb_934,0,image_embedding
emb_935,0,image_embedding
emb_936,0,image_embedding
emb_937,0,image_embedding
emb_938,0,image_embedding
emb_939,0,image_embedding
emb_940,0,image_embedding
emb_941,0,image_embedding
emb_942,0,image_embedding
emb_943,0,image_embedding
emb_944,0,image_embedding
emb_945,0,image_embedding
emb_946,0,image_embedding
emb_947,0,image_embedding
emb_948,0,image_embedding
emb_949,0,image_embedding
emb_950,0,image_embedding
emb_951,0,image_embedding
emb_952,0,image_embedding
emb_953,0,image_embedding
emb_954,0,image_embedding
emb_955,0,image_embedding
emb_956,0,image_embedding
emb_957,0,image_embedding
emb_958,0,image_embedding
emb_959,0,image_embedding
emb_960,0,image_embedding
emb_961,0,image_embedding
emb_962,0,image_embedding
emb_963,0,image_embedding
emb_964,0,image_embedding
emb_965,0,image_embedding
emb_966,0,image_embedding
emb_967,0,image_embedding
emb_968,0,image_embedding
emb_969,0,image_embedding
emb_970,0,image_embedding
emb_971,0,image_embedding
emb_972,0,image_embedding
emb_973,0,image_embedding
emb_974,0,image_embedding
emb_975,0,image_embedding
emb_976,0,image_embedding
emb_977,0,image_embedding
emb_978,0,image_embedding
emb_979,0,image_embedding
emb_980,0,image_embedding
emb_981,0,image_embedding
emb_982,0,image_embedding
emb_983,0,image_embedding
emb_984,0,image_embedding
emb_985,0,image_embedding
emb_986,0,image_embedding
emb_987,0,image_embedding
emb_988,0,image_embedding
emb_989,0,image_embedding
emb_990,0,image_embedding
emb_991,0,image_embedding
emb_992,0,image_embedding
emb_993,0,image_embedding
emb_994,0,image_embedding
emb_995,0,image_embedding
emb_996,0,image_embedding
emb_997,0,image_embedding
emb_998,0,image_embedding
emb_999,0,image_embedding
emb_1000,0,image_embedding
emb_1001,0,image_embedding
emb_1002,0,image_embedding
emb_1003,0,image_embedding
emb_1004,0,image_embedding
emb_1005,0,image_embedding
emb_1006,0,image_embedding
emb_1007,0,image_embedding
emb_1008,0,image_embedding
emb_1009,0,image_embedding
emb_1010,0,image_embedding
emb_1011,0,image_embedding
emb_1012,0,image_embedding
emb_1013,0,image_embedding
emb_1014,0,image_embedding
emb_1015,0,image_embedding
emb_1016,0,image_embedding
emb_1017,0,image_embedding
emb_1018,0,image_embedding
emb_1019,0,image_embedding
emb_1020,0,image_embedding
emb_1021,0,image_embedding
emb_1022,0,image_embedding
emb_1023,0,image_embedding
emb_1024,0,image_embedding
emb_1025,0,image_embedding
emb_1026,0,image_embedding
emb_1027,0,image_embedding
emb_1028,0,image_embedding
emb_1029,0,image_embedding
emb_1030,0,image_embedding
emb_1031,0,image_embedding
emb_1032,0,image_embedding
emb_1033,0,image_embedding
emb_1034,0,image_embedding
emb_1035,0,image_embedding
emb_1036,0,image_embedding
emb_1037,0,image_embedding
emb_1038,0,image_embedding
emb_1039,0,image_embedding
emb_1040,0,image_embedding
emb_1041,0,image_embedding
emb_1042,0,image_embedding
emb_1043,0,image_embedding
emb_1044,0,image_embedding
emb_1045,0,image_embedding
emb_1046,0,image_embedding
emb_1047,0,image_embedding
emb_1048,0,image_embedding
emb_1049,0,image_embedding
emb_1050,0,image_embedding
emb_1051,0,image_embedding
emb_1052,0,image_embedding
emb_1053,0,image_embedding
emb_1054,0,image_embedding
emb_1055,0,image_embedding
emb_1056,0,image_embedding
emb_1057,0,image_embedding
emb_1058,0,image_embedding
emb_1059,0,image_embedding
emb_1060,0,image_embedding
emb_1061,0,image_embedding
emb_1062,0,image_embedding
emb_1063,0,image_embedding
