model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL388978,STAUROSPORINE,5,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.20833333333333334,-4,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.21875,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.21875,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.20833333333333334,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.2,48,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.5555555555555556,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.21839080459770116,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.23684210526315788,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.23684210526315788,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.20833333333333334,0,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.20833333333333334,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.20833333333333334,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.1978021978021978,3,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.1978021978021978,6,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,half_life_obach,Excretion,Half-Life,regression,analog,0.726027397260274,790,measured
LightGBM,CHEMBL388978,STAUROSPORINE,5,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.24444444444444444,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.16666666666666666,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.1978021978021978,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.21875,2,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.20833333333333334,1,no_data
LightGBM,CHEMBL388978,STAUROSPORINE,5,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.25287356321839083,-5,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.2087912087912088,-4,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.18181818181818182,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.18518518518518517,1,no_data
